strchr  0x4011f947
arc4random_uniform  0x40127cdd
__memcpy_chk  0x4011e040
stat  0x4011cb58
mkdir  0x4011cb98
lstat  0x4011cb78
mkstemps  0x40110fb5
mkdtemp  0x40110ff1
putc_unlocked  0x40111089
putchar  0x401110c5
putchar_unlocked  0x40111109
puts  0x4011110d
putw  0x40111181
remove  0x401111d5
rmdir  0x4011cbd8
setbuf  0x40111227
setvbuf  0x40111251
setbuffer  0x40111237
setlinebuf  0x40111245
tempnam  0x401113ad
issetugid  0x4010ee2f
getenv  0x40125111
tmpnam  0x401114dd
__swsetup  0x40111525
__sinit  0x40121a11
abs  0x401115d5
__aeabi_idivmod  0x40136920
__aeabi_idiv  0x40136844
strncmp  0x401363a1
warnx  0x4012818d
getopt  0x40111e0d
getopt_long  0x40111e1b
getopt_long_only  0x40111e2b
imaxabs  0x40111e3b
__aeabi_ldivmod  0x40137a4c
imaxdiv  0x40111e53
labs  0x401115d5
llabs  0x40111e3b
realpath  0x401121c9
strlcpy  0x401364e1
__memmove_chk  0x4011f75d
strrchr  0x40136417
strlcat  0x40136495
readlink  0x4011cbb8
wcpcpy  0x401124d9
wcpncpy  0x401124ed
wcscasecmp  0x4011251f
wcscspn  0x4011254d
wcsdup  0x40112573
wcslen  0x4013659d
wmemcpy  0x401127df
wcslcat  0x40112593
wcslcpy  0x401125e3
wcsncasecmp  0x40112625
wcsncat  0x40112669
wcsncmp  0x40112693
wcsncpy  0x401126b5
wcsnlen  0x401126dd
wcspbrk  0x401126f1
wcsspn  0x40112713
wcsstr  0x40112739
wcstok  0x40112773
wmemchr  0x401127c3
wmemmove  0x401127e5
memmove  0x4011e3dd
wmemset  0x401127eb
SHA1Transform  0x401127fd
SHA1Init  0x401139f5
SHA1Update  0x40113a45
SHA1Final  0x40113af1
inet_aton  0x40113be1
inet_addr  0x40113d31
creat  0x40113d45
ftw  0x40113d7d
fts_open  0x40128a21
fts_read  0x40128bfd
fts_close  0x40128b8d
nftw  0x40113e17
nice  0x40113eed
getpriority  0x4012901b
setpriority  0x4011c170
popen  0x40113f39
socketpair  0x4011d268
pipe2  0x4011c6fc
pthread_rwlock_rdlock  0x4011fd04
vfork  0x4011c230
pthread_rwlock_unlock  0x4011fe28
dup2  0x4011c720
execl  0x40120951
pclose  0x4011412d
pthread_rwlock_wrlock  0x4011fe20
psignal  0x401141e1
psiginfo  0x40114265
longjmperror  0x4011426d
utime  0x4011427d
utimes  0x4011d090
inet_ntoa  0x401142c5
inet_ntop  0x401143a5
inet_pton  0x40114751
__evConsIovec  0x4011495d
__evConsTime  0x40114981
__evAddTime  0x40114989
__evSubTime  0x401149c5
__evCmpTime  0x401149fd
__evNowTime  0x40114a33
gettimeofday  0x4011ce94
__evUTCTime  0x40114a33
__evTimeSpec  0x40114a77
__evTimeVal  0x40114a8f
regcomp  0x40116065
regfree  0x401184f9
regerror  0x401163ad
memcmp  0x4011dbec
regexec  0x40117ab9
__getdelim  0x4011858d
getdelim  0x401186ad
getline  0x401186f5
bsearch  0x401186fd
div  0x4011879d
drand48  0x401187cd
erand48  0x401187e1
__dorand48  0x4011894d
ldexp  0x40129201
jrand48  0x40118899
ldiv  0x4011879d
lldiv  0x40111e53
lrand48  0x401188cd
mrand48  0x401188f1
nrand48  0x40118915
